"id","serverTime","userTime","gameVersion","playerId","playerBirthdate","playerRegion","playerCountry","playerGender","playerExternalId","playerCustomData","type","coordinates","section","customData.language","customData.platform","customData.localplayerguid","customData.controls","customData.sametab","customData.device","customData.option","customData.sound","customData.gamelevel","customData","customData.dnabit"
"cf4ef461-919b-49ae-a90b-d2045197486e","2016-08-29T01:57:49.710Z","2016-08-29T01:53:55.744Z","fef94d5f-d99a-4212-9f21-87308293fb03","7f3efdb6-373e-471a-a0ca-76740810b41b",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""SANDBOX""",,,,
"36b18ae7-de0e-4a27-acd1-7c6457ba8f82","2016-08-29T00:23:08.401Z","2016-08-29T00:19:14.318Z","fef94d5f-d99a-4212-9f21-87308293fb03","55973f47-1fc0-468c-868e-6d1646156076",,,,,,,"start","[0, 0]","",,"""windowsplayer""","""305ed568-aff6-48a0-a5b8-9745afc6c51f""",,,,,,,,
"56ccf7ec-be4d-4bde-8409-2d8c5a91aa63","2016-08-29T01:24:40.590Z","2016-08-29T01:20:46.589Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"start","[-229, -608]","",,"""windowsplayer""","""305ed568-aff6-48a0-a5b8-9745afc6c51f""",,,,,,,,
"85cc8783-7ac0-4db8-9350-095c2217e887","2016-08-29T01:24:59.106Z","2016-08-29T01:21:05.131Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""RESUME""",,,,
"c3821a1a-fcf9-40d4-98e7-e7b932fa8cd0","2016-08-29T01:25:57.959Z","2016-08-29T01:22:04.011Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""LEARNMORE""",,,,
"e53b81a7-98ef-4b8e-8064-7f6f51a76bbf","2016-08-29T01:26:04.272Z","2016-08-29T01:22:10.318Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""LANGUAGE""",,,,
"dca3126e-e111-4fee-a667-e9a0c0e4aab4","2016-08-29T01:26:09.879Z","2016-08-29T01:22:15.882Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"configure","[-229, -608]","","""English""",,,,,,,,,,
"507c2f9b-852c-4dc1-bd88-3d8609918664","2016-08-29T01:26:12.776Z","2016-08-29T01:22:18.759Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""CONTROLS""",,,,
"f61708c5-16cd-4c1c-a50d-3b5e300e10b2","2016-08-29T01:26:19.607Z","2016-08-29T01:22:25.659Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"configure","[-229, -608]","",,,,"""AbsoluteWASD""",,,,,,,
"f9f7916f-53b3-4215-82a0-0e3221865210","2016-08-29T01:26:28.816Z","2016-08-29T01:22:34.857Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""SANDBOX""",,,,
"c3711f33-cfde-47fb-8733-c82a0f4b845b","2016-08-29T01:26:28.818Z","2016-08-29T01:22:34.859Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"switch","[-229, -608]","",,,,,,,,,"""SANDBOX2""",,
"690d7b6c-878f-4a83-9ba9-bc87482e85e3","2016-08-29T01:26:31.443Z","2016-08-29T01:22:37.251Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"reach","[-125, 373]","sandbox2.Checkpoint01",,,,,,,,,,"null",
"fc67180f-5da5-456e-b891-5270011ee980","2016-08-29T01:27:26.824Z","2016-08-29T01:23:32.883Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"selectmenu","[-122, 362]","sandbox2.Checkpoint01",,,,,,,"""CONTROLS""",,,,
"22f889b0-4a8c-4623-bd19-f356a341460c","2016-08-29T01:27:42.642Z","2016-08-29T01:23:48.706Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"configure","[-122, 362]","sandbox2.Checkpoint01",,,,"""RightClickToMove""",,,,,,,
"f97cf337-127f-46ab-9f2d-babe5e3bffc9","2016-08-29T01:27:44.649Z","2016-08-29T01:23:50.709Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"configure","[-122, 362]","sandbox2.Checkpoint01",,,,"""RelativeWASD""",,,,,,,
"da06b694-3907-460d-b452-9ed12f4f26e7","2016-08-29T01:27:48.990Z","2016-08-29T01:23:55.015Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"selectmenu","[-122, 362]","sandbox2.Checkpoint01",,,,,,,"""RESUME""",,,,
"4e94e2e1-9d5d-4781-95e6-774b40e8e972","2016-08-29T01:28:37.072Z","2016-08-29T01:24:43.051Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"selectmenu","[-122, 362]","sandbox2.Checkpoint01",,,,,,,"""ADVENTURE""",,,,
"80049490-c990-4f63-8beb-30aa0af4ba43","2016-08-29T01:28:37.142Z","2016-08-29T01:24:43.052Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"switch","[-122, 362]","tutorial1.Checkpoint01",,,,,,,,,"""TUTORIAL1""",,
"50ed72c8-ccae-4182-9972-4f1976c097d5","2016-08-29T01:29:18.457Z","2016-08-29T01:25:24.487Z","fef94d5f-d99a-4212-9f21-87308293fb03","e47ac879-cd3c-48b6-914f-2c1adc9360a9",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""LEARNMORE""",,,,
"937245cb-3938-4a71-9f31-9feef1f2fd8c","2016-08-29T01:36:25.390Z","2016-08-29T01:32:31.124Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"start","[-229, -608]","",,"""windowsplayer""","""305ed568-aff6-48a0-a5b8-9745afc6c51f""",,,,,,,,
"88daa61b-f03e-44f9-9025-1189b2667ad9","2016-08-29T01:36:29.870Z","2016-08-29T01:32:35.893Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""SOUND""",,,,
"6698cbde-b3e9-4ebd-90d2-1c9d4941b7cf","2016-08-29T01:36:58.932Z","2016-08-29T01:33:04.827Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""CONTROLS""",,,,
"a89b6c43-d10a-48e8-b709-8132e519cdc8","2016-08-29T01:37:07.016Z","2016-08-29T01:33:12.845Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""LANGUAGE""",,,,
"56cebeff-329f-4d71-93a7-49795d3c9208","2016-08-29T01:37:08.931Z","2016-08-29T01:33:14.961Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"configure","[-229, -608]","","""French""",,,,,,,,,,
"3c05764a-0205-4e43-af8d-4ea480f3acd5","2016-08-29T01:37:10.955Z","2016-08-29T01:33:17.012Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"configure","[-229, -608]","","""English""",,,,,,,,,,
"790b3839-76d3-46e8-8356-089d98651ee4","2016-08-29T01:37:24.612Z","2016-08-29T01:33:30.643Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""RESUME""",,,,
"145a598f-91a8-4143-82fc-40dab4f8c5d5","2016-08-29T01:37:24.613Z","2016-08-29T01:33:30.645Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"restart","[-229, -608]","",,,,,,,,,,"null",
"f79c3324-8bd9-4614-be76-cab3464e56f1","2016-08-29T01:38:08.817Z","2016-08-29T01:34:14.842Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"death","[-229, -608]","",,,,,,,,,,"null",
"7781b657-52dc-44f6-8b2c-ff1facf02516","2016-08-29T01:39:03.948Z","2016-08-29T01:35:09.961Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""LEARNMORE""",,,,
"17ac1895-fc73-410f-aec1-3914decea273","2016-08-29T01:39:13.359Z","2016-08-29T01:35:19.418Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""CONTROLS""",,,,
"90cd5520-528c-4010-8ae1-9d732732a32a","2016-08-29T01:39:15.729Z","2016-08-29T01:35:21.749Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"configure","[-229, -608]","",,,,"""AbsoluteWASD""",,,,,,,
"eb04000c-1de4-42fb-b25d-557da539d3d6","2016-08-29T01:39:21.207Z","2016-08-29T01:35:27.257Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"configure","[-229, -608]","",,,,"""RightClickToMove""",,,,,,,
"a1aee991-ed44-42b2-8779-372d3f8a21ee","2016-08-29T01:39:22.812Z","2016-08-29T01:35:28.854Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"configure","[-229, -608]","",,,,"""AbsoluteWASD""",,,,,,,
"c850eb85-8360-4d68-be66-056b37902852","2016-08-29T01:39:26.314Z","2016-08-29T01:35:32.367Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""RESUME""",,,,
"9e089a5b-18ee-4cc1-8c8c-667546ae9131","2016-08-29T01:40:19.440Z","2016-08-29T01:36:25.385Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"switch","[-229, -608]","",,,,,,,,,"""SANDBOX2""",,
"23149235-7da1-4e3e-b168-cefc2a20c50b","2016-08-29T01:40:19.463Z","2016-08-29T01:36:25.383Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"selectmenu","[-229, -608]","",,,,,,,"""SANDBOX""",,,,
"0ca72b03-c64f-474a-8d82-857134adcbc5","2016-08-29T01:40:21.349Z","2016-08-29T01:36:27.181Z","fef94d5f-d99a-4212-9f21-87308293fb03","bf7f56b0-da38-4141-b66d-b3dafad6928e",,,,,,,"reach","[-125, 373]","sandbox2.Checkpoint01",,,,,,,,,,"null",
