"Timestamp","Are you interested in video games?","Do you play video games?","How old are you?","What is your gender?","How long have you studied biology?","Are you interested in biology?","Have you ever heard about synthetic biology?","Have you ever heard about BioBricks?","Have you ever played an older version of Hero.Coli before?","Have you played the current version of Hero.Coli?","Have you played the arcade cabinet version of Hero.Coli?","Have you played the Android version of Hero.Coli?","In order to modify the abilities of the bacterium, you have to...","What are BioBricks and devices?","What is the name of this BioBrick?","What is the name of this BioBrick?","What is the name of this BioBrick?","What is the name of this BioBrick?","What does this BioBrick do?","What does this BioBrick do?","What does this BioBrick do?","What does this BioBrick do?","Pick the case where the BioBricks are well-ordered:","When does green fluorescence happen?","What happens when you unequip the movement device?","What is this?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","Guess: what would a device producing l-arabinose do, if it started with a l-arabinose-induced promoter?","What is the species of the bacterium of the game?","What is the scientific name of the tails of the bacterium?","Find the antibiotic:","Guess: the bacterium would glow yellow...","You can write down remarks here.","Do not edit -  pre-filled anonymous ID"
"2017/08/18 4:22:26 PM GMT+2","Extremely","Extremely","23","Female","Until bachelor's degree","Extremely","Yes","","No","Yes","","","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Fluorescence","RBS","","","","","Option 2","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","I don't know","I don't know","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","E. Coli","Flagella","Ampicillin","I don't know","Your game is amazing. One suggestion. In several points throughout the game i had no idea where to go. maybe a minimap would help","8d352896-a3f1-471c-8439-0f426df901c1"
"2017/09/06 2:28:03 PM GMT+2","Moderately","Moderately","28","Other","Until the end of high school","Moderately","Yes","","No","Yes","","","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","RBS","","","","","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","E. Coli","Flagella","Ampicillin","I don't know","This was a nice educational game, thank you for your efforts.","7037c5b2-c286-498e-9784-9a061c778609"
"2017/09/12 10:02:06 AM GMT+2","A lot","Moderately","20","Female","Until bachelor's degree","Moderately","No","","No","Yes","","","Edit the DNA of the bacterium","Genes","Terminator","Promoter","I don't know","ATP","","","","","Option 1","In front of the doors, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence in presence of l-arabinose","It generates antibiotic resistance","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence","I don't know","E. Coli","Flagella","Ampicillin","If it produces BFP under purple light","","5c4939b5-425b-4d19-b5d2-0384a515539e"
"2017/09/13 3:11:34 AM GMT+2","I don't know","I don't know","0","Other","I don't know","I don't know","No","","No","Yes","","","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","RBS","","","","","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","E. Coli","Flagella","Ampicillin","If it produces YFP under cyan light","","7825d421-d668-4481-898a-46b51efe40f0"
"2017/09/17 7:34:56 PM GMT+2","Moderately","Moderately","21","Male","Until bachelor's degree","A lot","Yes","","No","Yes","","","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","RBS","","","","","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","E. Coli","Flagella","Ampicillin","If it produces YFP under cyan light","Interested to work on Synthetic Biology as a design engineer.","acb9c989-b4a6-4c4d-81cc-6b5783ec71d8"
"2017/10/16 1:46:49 PM GMT+2","Moderately","Rarely","18","Female","Until bachelor's degree","A lot","No","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","Trespasser","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, all the time","I don't know","I don't know","","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Ampicillin","If it produced YFP under cyan light","","1a03bc9e-bed4-4ddd-be7f-af23b1d5eb65"
"2017/10/16 1:48:34 PM GMT+2","A lot","Rarely","19","Female","Until the end of high school","Extremely","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Hero.Coli","Flagella","I don't know","I don't know","","3685a015-fa97-4457-ad73-da1c50210fe1"
"2017/10/16 1:50:38 PM GMT+2","Moderately","Moderately","17","Female","Until the end of middle school","A lot","Yes","No","No","No","No","No","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","E. Coli","Flagella","Ampicillin","I don't know","","9a2e8271-a84d-4b3c-a670-2d65326ed824"
"2017/10/16 1:50:40 PM GMT+2","Moderately","Rarely","18","Female","Until bachelor's degree","Extremely","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","The bacterium dies","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","After being induced, it would produce more and more l-arabinose, because it would induce itself","Hero.Coli","Flagella","Ampicillin","If it produced YFP under cyan light","","bfdfd356-5d6f-4696-a2f1-c1dc338aa64b"
"2017/10/16 1:51:49 PM GMT+2","A lot","Moderately","17","Female","Until the end of middle school","Slightly","Yes","No","No","No","No","No","I don't know","I don't know","Transcriptor","Precursor","Coding Sequence","ATP","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","The bacterium glows","I don't know","I don't know","I don't know","I don't know","I don't know","It generates green fluorescence in presence of l-arabinose","","I don't know","I don't know","I don't know","Hero.Coli","Plasmids","Ampicillin","I don't know","","a7936587-8b71-43b6-9c61-17b2c2b55de3"
