"Timestamp","Are you interested in learning more about... [Biology]","Are you interested in learning more about... [Synthetic biology]","Are you interested in learning more about... [Video games]","Are you interested in learning more about... [Engineering]","Have you ever played Hero.Coli?","How old are you?"," [What is your gender?]"," [Are you interested in video games?]"," [Are you interested in biology?]"," [How long have you studied biology?]"," [Do you play video games?]"," [Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?]","Do you volunteer to contribute to our study by answering 9 more questions? (5 min)"," [Did you enjoy playing the game?]"," [In order to modify the abilities of the bacterium, you have to...]"," [What are BioBricks and devices?]"," [Find the antibiotic:]","BioBricks: [Plasmid is...]","BioBricks: [Represents the end of a device...]","BioBricks: [Promoter is...]","BioBricks: [Represents the ability given...]","BioBricks: [Terminator is...]","BioBricks: [Codes a protein...]","BioBricks: [RBS is...]","BioBricks: [Can represent GFP...]","BioBricks: [Coding Sequence is...]","BioBricks: [Controls when the device is active...]","BioBricks: [Controls the level of expression, and thus how much the ability will be affected...]","BioBricks: [Makes it possible to equip an additional device.]","BioBricks: [Operator is...]"," [device 1]"," [device 2]"," [device 3]"," [device 4]"," [device 5]"," [device 6]"," [device 7]"," [device 8]"," [When does green fluorescence happen?]"," [What happens when you unequip the movement device?]","Last question. Next page only contains remarks. [Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?]","You can write down remarks here.","⚠ Do not edit"
"2018/03/23 7:12:13 PM GMT+2","","","","","No / not yet","0","Male","Not at all","Not at all","Not even in middle school","Not at all","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","test","277e0ecd-3a8a-4bc2-b651-c22b135d5583"
"2018/03/23 7:12:47 PM GMT+2","","","","","I just played for the first time","","","","","","","","","","Edit the DNA of the bacterium","DNA sequences","Ampicillin","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","It produces arabinose all the time","","71501e45-a299-4d63-b4ae-b1aa234d9f4d"
"2018/03/23 7:14:10 PM GMT+2","","","","","No / not yet","0","Male","Not at all","Not at all","Not even in middle school","Not at all","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","test","2d8c3661-ab16-4e95-b2ac-a73f1eaeb762"
"2018/03/23 9:15:43 PM GMT+2","","","","","I played it some time ago","31","Male","Moderately","Moderately","Until the end of middle school","Moderately","Yes, and I know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bonjour c'est daniel","670c6701-bba0-4fda-875c-8a4e6d01ed0c"
"2018/03/24 5:28:45 AM GMT+2","","","","","No / not yet","54","Male","Moderately","Extremely","At least until master's degree","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4cb9dd6c-5585-4b6a-a98b-2aad0ab69ad3"
"2018/03/24 3:20:28 PM GMT+2","","","","","No / not yet","99","Male","A lot","Moderately","Until the end of high school","A lot","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a30ff250-2dcb-425b-a69b-ccceedbe07f1"
"2018/03/24 7:27:40 PM GMT+2","","","","","I just played for the first time","","","","","","","","","","Edit the DNA of the bacterium","DNA sequences","Ampicillin","5","1","None of these","None of these","None of these","None of these","None of these","3","None of these","None of these","None of these","None of these","None of these","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","It produces arabinose all the time","","b9be0024-b77d-4b7b-b26a-f2e3d82ecafe"
"2018/03/24 10:50:04 PM GMT+2","","","","","No / not yet","24","Male","Extremely","Extremely","Until bachelor's degree","Moderately","Yes, but I don't exactly know what it means","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a1f9fc37-d8af-4bc6-8d90-768c53d4b24a"
"2018/03/25 5:19:28 PM GMT+2","","","","","I just played for the first time","","","","","","","","","","Edit the DNA of the bacterium","DNA sequences","Ampicillin","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","None of these","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","It produces arabinose all the time","","c4d5c2ab-a86a-4878-9b9c-3bc29628a261"
"2018/03/25 9:01:12 PM GMT+2","","","","","No / not yet","20","Female","Slightly","Extremely","Until bachelor's degree","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e8ed68b8-42d5-4f15-b76a-40aab1e08d79"
