,Timestamp,Are you interested in learning more about...Biology,Are you interested in learning more about...Synthetic biology,Are you interested in learning more about...Video games,Are you interested in learning more about...Engineering,Have you ever played Hero.Coli?,How old are you?,What is your gender?,Are you interested in video games?,Are you interested in biology?,How long have you studied biology?,Do you play video games?,"Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?",Do you volunteer to contribute to our study by answering 9 more questions? (5 min),Did you enjoy playing the game?,"In order to modify the abilities of the bacterium, you have to...",What are BioBricks and devices?,Find the antibiotic:,Plasmid is...,Represents the end of a device... TER,Promoter is...,Represents the ability given... CDS,Terminator is...,Codes a protein... CDS,RBS is...,Can represent GFP... CDS,Coding Sequence is...,Controls when the device is active... PR,"Controls the level of expression, and thus how much the ability will be affected... RBS",Makes it possible to equip an additional device. PLASMID,Operator is... XXX,What does this device do? RBS:PCONS:FLHDC:TER XXX,What does this device do? PCONS:RBS:FLHDC:TER,What does this device do? PBAD:RBS:GFP:TER,What does this device do? PBAD:GFP:TBS:TER XXX,What does this device do? GFP:RBS:PCONS:TER XXX,What does this device do? PCONS:GFP:RBS:TER XXX,What does this device do? AMPR:RBS:PCONS:TER XXX,What does this device do? RBS:PCONS:AMPR:TER XXX,When does green fluorescence happen?,What happens when you unequip the movement device?,Last question. Next page only contains remarks.Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?,You can write down remarks here.,userId,Language,Temporality
0,2018-03-23 18:12:13+00:00,,,,,No / not yet,0,Male,Not at all,Not at all,Not even in middle school,Not at all,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,277e0ecd-3a8a-4bc2-b651-c22b135d5583,en,undefined
1,2018-03-23 18:12:47+00:00,,,,,I just played for the first time,,,,,,,,,,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,,71501e45-a299-4d63-b4ae-b1aa234d9f4d,en,undefined
2,2018-03-23 18:14:10+00:00,,,,,No / not yet,0,Male,Not at all,Not at all,Not even in middle school,Not at all,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,2d8c3661-ab16-4e95-b2ac-a73f1eaeb762,en,undefined
3,2018-03-23 20:15:43+00:00,,,,,I played it some time ago,31,Male,Moderately,Moderately,Until the end of middle school,Moderately,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonjour c'est daniel,670c6701-bba0-4fda-875c-8a4e6d01ed0c,en,undefined
4,2018-03-24 04:28:45+00:00,,,,,No / not yet,54,Male,Moderately,Extremely,At least until master's degree,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4cb9dd6c-5585-4b6a-a98b-2aad0ab69ad3,en,undefined
5,2018-03-24 14:20:28+00:00,,,,,No / not yet,99,Male,A lot,Moderately,Until the end of high school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a30ff250-2dcb-425b-a69b-ccceedbe07f1,en,undefined
6,2018-03-24 18:27:40+00:00,,,,,I just played for the first time,,,,,,,,,,Edit the DNA of the bacterium,DNA sequences,Ampicillin,5,1,None of these,None of these,None of these,None of these,None of these,3,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,,b9be0024-b77d-4b7b-b26a-f2e3d82ecafe,en,undefined
7,2018-03-24 21:50:04+00:00,,,,,No / not yet,24,Male,Extremely,Extremely,Until bachelor's degree,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a1f9fc37-d8af-4bc6-8d90-768c53d4b24a,en,undefined
8,2018-03-25 15:19:28+00:00,,,,,I just played for the first time,,,,,,,,,,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,,c4d5c2ab-a86a-4878-9b9c-3bc29628a261,en,undefined
9,2018-03-25 19:01:12+00:00,,,,,No / not yet,20,Female,Slightly,Extremely,Until bachelor's degree,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8ed68b8-42d5-4f15-b76a-40aab1e08d79,en,undefined
