"Timestamp","Aimeriez-vous en savoir plus sur... [La biologie]","Aimeriez-vous en savoir plus sur... [La biologie de synthèse]","Aimeriez-vous en savoir plus sur... [Les jeux vidéo]","Aimeriez-vous en savoir plus sur... [L'ingénierie]","Avez-vous déjà joué à Hero.Coli ?","Quel âge avez-vous ?"," [Quel est votre sexe ?]"," [Vous intéressez-vous aux jeux vidéo ?]"," [Vous intéressez-vous à la biologie ?]"," [Combien de temps avez-vous étudié la biologie ?]"," [Jouez-vous aux jeux vidéo ?]"," [Avant Hero.Coli, aviez-vous déjà entendu parler de la biologie de synthèse ou des BioBriques ?]","Êtes-vous volontaire pour contribuer à notre étude en répondant à 9 questions supplémentaires ? (5 min)"," [Vous êtes-vous amusé en jouant au jeu ?]"," [Pour modifier les capacités de la bactérie il faut...]"," [Que sont les BioBriques et les constructions ?]"," [Trouvez l'antibiotique :]","Les BioBriques : [Le Plasmide est...]","Les BioBriques : [Représente la fin d'une construction...]","Les BioBriques : [Le Promoteur est...]","Les BioBriques : [Représente la capacité fournie...]","Les BioBriques : [Le Terminateur est...]","Les BioBriques : [Code une protéine...]","Les BioBriques : [Le RBS est...]","Les BioBriques : [Peut représenter la GFP...]","Les BioBriques : [La Séquence Codante est...]","Les BioBriques : [Contrôle quand la construction est active...]","Les BioBriques : [Contrôle le niveau d'expression, et donc à quel point la capacité est affectée...]","Les BioBriques : [Permet d'équiper une construction supplémentaire...]","Les BioBriques : [L'Opérateur est...]"," [construction 1]"," [construction 2]"," [construction 3]"," [construction 4]"," [construction 5]"," [construction 6]"," [construction 7]"," [construction 8]"," [Quand la fluorescence verte se produit-elle ?]"," [Que se passe-t-il quand on enlève la construction génétique de déplacement ?]","Dernière question. La page suivante ne contient que les remarques. [Imaginez : vous venez d'assembler une construction fonctionnelle qui contient un promoteur induit à l'arabinose et une séquence codante (CDS) pour l'arabinose. Que se passe-t-il ?]","Vous pouvez ajouter des remarques ici.","⚠ Ne pas modifier"
"2018/03/24 4:07:51 PM GMT+2","","","","","Non / pas encore","26","Homme","Beaucoup","Énormément","Au moins jusqu'au master","Beaucoup","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","df7afec7-0029-44b0-961f-b37b47ccea96"
"2018/03/24 4:31:10 PM GMT+2","","","","","Non / pas encore","18","Homme","Un peu","Énormément","Jusqu'au bac","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8f895aac-0bbc-4861-8fa3-31b6c2203a2a"
"2018/03/24 5:36:16 PM GMT+2","","","","","Non / pas encore","89","Homme","Un peu","Moyennement","Jusqu'au brevet","Un peu","Oui, et je sais ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dfhwhw","ec47694a-73d8-4134-a0ab-b2e401c2c302"
"2018/03/24 9:39:12 PM GMT+2","","","","","Non / pas encore","17","Homme","Moyennement","Beaucoup","Jusqu'au bac","Moyennement","Oui, et je sais ce que c'est","Oui","","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","5","1","Je ne sais pas","3","1","Aucun de ces éléments","Je ne sais pas","Je ne sais pas","3","2","4","Je ne sais pas","2","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Je ne sais pas","Je ne sais pas","Je ne sais pas","","e8d8c945-315e-4a49-8ca5-93a2de6b903f"
"2018/03/24 10:03:50 PM GMT+2","","","","","Non / pas encore","17","Homme","Moyennement","Beaucoup","Jusqu'au bac","Moyennement","Oui, et je sais ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e8d8c945-315e-4a49-8ca5-93a2de6b903f"
"2018/03/27 11:23:48 AM GMT+2","","","","","Je viens d'y jouer pour la première fois","","","","","","","","","","Modifier l'ADN de la bactérie","Des séquences d'ADN","Ampicilline","5","1","2","3","1","3","4","3","3","2","4","5","Aucun de ces éléments","Les briques ne sont pas dans le bon ordre","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence d'inducteur arabinose","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Les briques ne sont pas dans le bon ordre","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Elle produit de plus en plus d'arabinose après avoir été induite, puisqu'elle s'induit elle-même.","test - 1st play path","603e9d2c-1d85-4173-86f1-354f41871da2"
"2018/03/27 11:49:03 AM GMT+2","","","","","Je viens d'y jouer pour la première fois","","","","","","","","","","Ramasser des nanorobots","Des séquences d'ARN","Ampicilline","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","3f675328-0bdd-469b-8bc7-3666238ee90a"
"2018/03/29 11:43:34 AM GMT+2","Moyennement","Énormément","Moyennement","Énormément","Non / pas encore","27","Femme","Moyennement","Beaucoup","Au moins jusqu'au master","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b78833a7-1b71-4752-9518-5f20d189a948"
"2018/03/29 11:45:48 AM GMT+2","Beaucoup","Beaucoup","Moyennement","Un peu","Non / pas encore","17","Femme","Moyennement","Énormément","Jusqu'au brevet","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d302f743-72e5-41f6-bac4-8605b4be2b10"
"2018/03/29 6:05:54 PM GMT+2","Beaucoup","Beaucoup","Moyennement","Un peu","Non / pas encore","17","Femme","Un peu","Beaucoup","Jusqu'au brevet","Un peu","Oui, mais je ne sais pas exactement ce que c'est","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a5bf70ae-59d2-40ad-8eed-52af5738cb34"
