Timestamp,[]
Want to learn more about Biology,"{'Pas du tout': 'Not at all', 'Un peu': 'Slightly', 'Moyennement': 'Moderately', 'Énormément': 'Extremely', 'Beaucoup': 'A lot'}"
Want to learn more about Synthetic biology,"{'Pas du tout': 'Not at all', 'Un peu': 'Slightly', 'Moyennement': 'Moderately', 'Énormément': 'Extremely', 'Beaucoup': 'A lot'}"
Want to learn more about Video games,"{'Pas du tout': 'Not at all', 'Un peu': 'Slightly', 'Moyennement': 'Moderately', 'Énormément': 'Extremely', 'Beaucoup': 'A lot'}"
Want to learn more about Engineering,"{'Pas du tout': 'Not at all', 'Un peu': 'Slightly', 'Moyennement': 'Moderately', 'Énormément': 'Extremely', 'Beaucoup': 'A lot'}"
Played Hero.Coli,"{""J'y ai joué récemment sur un autre ordinateur"": 'I played recently on an other computer', 'Non / pas encore': 'No / not yet', ""J'y ai joué il y a un moment"": 'I played it some time ago', ""Je viens d'y jouer pour la première fois"": 'I just played for the first time', ""J'y ai joué plusieurs fois récemment sur cet ordinateur"": 'I played it multiple times recently on this computer', ""J'y ai joué plusieurs fois récemment"": 'I played it multiple times recently'}"
Age,[]
Gender,"{'Homme': 'Male', 'Je ne souhaite pas le préciser': 'Prefer not to say', 'Autre': 'Other', 'Femme': 'Female'}"
Interested in video games,"{'Pas du tout': 'Not at all', 'Un peu': 'Slightly', 'Moyennement': 'Moderately', 'Énormément': 'Extremely', 'Beaucoup': 'A lot'}"
Interested in biology,"{'Pas du tout': 'Not at all', 'Un peu': 'Slightly', 'Moyennement': 'Moderately', 'Énormément': 'Extremely', 'Beaucoup': 'A lot'}"
Studied biology,"{""Jusqu'à la license"": ""Until bachelor's degree"", 'Jamais, pas même au collège': 'Not even in middle school', ""Jusqu'au brevet"": 'Until the end of middle school', ""Jusqu'au bac"": 'Until the end of high school', ""Au moins jusqu'au master"": ""At least until master's degree""}"
Play video games,"{'Pas du tout': 'Not at all', 'Un peu': 'Rarely', 'Moyennement': 'Moderately', 'Énormément': 'Extremely', 'Beaucoup': 'A lot'}"
Heard about Synthetic biology or BioBricks,"{'Non': 'No', ""Oui, et je sais ce que c'est"": 'Yes, and I know what it means', ""Oui, mais je ne sais pas exactement ce que c'est"": ""Yes, but I don't exactly know what it means""}"
Volunteered to answer more questions,"{'Non': 'No', 'Oui': 'Yes'}"
Enjoyed playing,"{'Pas du tout': 'Not at all', 'Extrêmement': 'Extremely', 'Moyennement': 'Moderately', 'Un peu': 'A bit', ""Ne s'applique pas : pas encore joué"": 'Not applicable: not played yet', 'Beaucoup': 'A lot'}"
Genotype and phenotype,"{'Ramasser des nanorobots': 'Gather nanobots', ""Modifier l'ADN de la bactérie"": 'Edit the DNA of the bacterium', 'Je ne sais pas': ""I don't know"", 'Diviser la bactérie': 'Divide the bacterium', 'Faire bouger la bactérie': 'Move the bacterium'}"
BioBricks and devices composition,"{'Des acides aminés': 'Amino-acids', ""Des séquences d'ARN"": 'RNA sequences', ""Des séquences d'ADN"": 'DNA sequences', 'Je ne sais pas': ""I don't know"", 'Des protéines': 'Proteins'}"
Ampicillin antibiotic,"{'Ampicilline': 'Ampicillin', 'Je ne sais pas': ""I don't know"", 'Arabinose': 'Arabinose', 'GFP': 'GFP', 'Terminateur': 'Terminator'}"
Name: Plasmid,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Function: TER,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Name: PR,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Function - game: CDS,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Name: TER,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Function - biology: CDS,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Name: RBS,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Example: CDS,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
