,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
116,2018-04-14 12:21:23+00:00,Moderately,Slightly,Extremely,Extremely,No / not yet,24,Male,Extremely,Moderately,Until the end of high school,A lot,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,3421dfc4-8085-4af7-bf73-a46e655fc2ca,en,pretest
117,2018-04-14 12:40:17+00:00,Moderately,Slightly,Extremely,Extremely,I just played for the first time,24,Male,Extremely,Moderately,Until the end of high school,A lot,No,Yes,Moderately,Move the bacterium,DNA sequences,Ampicillin,I don't know,None of these,I don't know,CDS,None of these,I don't know,I don't know,CDS,I don't know,PR,RBS,Plasmid,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,"It produces more and more arabinose after being induced, because it induces itself",,3421dfc4-8085-4af7-bf73-a46e655fc2ca,en,posttest
129,2018-04-17 13:35:20+00:00,Moderately,A lot,Extremely,Extremely,No / not yet,19,Male,Extremely,Moderately,Until bachelor's degree,Extremely,No,Yes,Extremely,Gather nanorobots,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",I don't know,I don't know,,6627912f-da9b-4406-a119-7b92c53af450,en,pretest
130,2018-04-17 16:24:46+00:00,A lot,Moderately,A lot,Moderately,I just played for the first time,17,Male,A lot,Moderately,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,TER,I don't know,I don't know,TER,RBS,I don't know,I don't know,I don't know,CDS,RBS,Plasmid,PR,The bricks are not well-ordered,It generates green fluorescence,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Nothing,It is active only in arabinose clouds,it is a nice game and its a good idea to teach with games but its easy to get stuck if you don't know when you can craft new things and good luck improving this game,cb03d106-69f5-4504-bd05-38c0fef5b63c,en,posttest
138,2018-04-18 14:22:11+00:00,A lot,A lot,A lot,A lot,I just played for the first time,27,Male,Extremely,Moderately,Until the end of middle school,A lot,No,Yes,A lot,Edit the DNA of the bacterium,RNA sequences,Terminator,I don't know,Plasmid,TER,RBS,I don't know,None of these,I don't know,I don't know,TER,PR,CDS,CDS,I don't know,It generates green fluorescence in presence of arabinose inducer,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"In front of the doors, when the GFP device is equipped",The bacterium glows,I don't know,,39b30a7e-ff49-427d-bdb6-f387e56ba5db,en,posttest
153,2018-04-20 13:09:20+00:00,Slightly,Moderately,Slightly,Extremely,No / not yet,15,Female,Slightly,Moderately,Until the end of high school,Not at all,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Divide the bacterium,RNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,TER,Plasmid,PR,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",The bacterium glows,It is active only in arabinose clouds,,78e2585b-4ae2-4c55-a4a2-ed3707ed2fef,en,pretest
155,2018-04-20 13:14:25+00:00,Slightly,Moderately,Extremely,Slightly,No / not yet,21,Female,A lot,Slightly,Until the end of middle school,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,315e916f-fc68-4ab5-8a14-08999dd6dc5e,en,pretest
156,2018-04-20 13:39:45+00:00,Slightly,Moderately,Slightly,A lot,I just played for the first time,15,Female,Slightly,Moderately,Until the end of high school,Not at all,"Yes, but I don't exactly know what it means",Yes,Not at all,Edit the DNA of the bacterium,RNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,78e2585b-4ae2-4c55-a4a2-ed3707ed2fef,en,posttest
160,2018-04-20 13:57:30+00:00,A lot,A lot,Extremely,Extremely,No / not yet,20,Male,Extremely,A lot,Until the end of high school,Extremely,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Plasmid,TER,I don't know,I don't know,I don't know,CDS,I don't know,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Flagella quickly disappear one by one,I don't know,,f3917a26-aeb8-49e7-b322-f84889bdf8bc,en,pretest
163,2018-04-20 14:36:48+00:00,Moderately,Moderately,Extremely,Slightly,I just played for the first time,21,Female,A lot,Slightly,Until the end of middle school,Moderately,"Yes, but I don't exactly know what it means",Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,None of these,TER,RBS,None of these,CDS,CDS,TER,Plasmid,CDS,RBS,Plasmid,CDS,The bricks are not well-ordered,It generates green fluorescence,I don't know,I don't know,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,315e916f-fc68-4ab5-8a14-08999dd6dc5e,en,posttest
164,2018-04-20 14:48:11+00:00,A lot,A lot,Extremely,Extremely,I just played for the first time,20,Male,Extremely,A lot,Until the end of high school,Extremely,No,Yes,Extremely,Edit the DNA of the bacterium,Proteins,Ampicillin,Plasmid,TER,PR,CDS,TER,CDS,CDS,CDS,TER,TER,RBS,Plasmid,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,"It produces more and more arabinose after being induced, because it induces itself","Very pleasant to play, perhaps the scientific vocabular was a bit surprising at first, but it remains very easy to play with, fun, complex enough and not too punishing - even though some parts were very tricky.",f3917a26-aeb8-49e7-b322-f84889bdf8bc,en,posttest
