,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
909,2018-04-27 10:24:23+00:00,Extremely,Extremely,Moderately,A lot,No / not yet,24,Female,Not at all,Extremely,Until the end of high school,Not at all,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,48167450-4258-4ea3-9c84-eaf7bc82572e,fr,pretest
910,2018-04-27 10:24:39+00:00,A lot,Moderately,Moderately,A lot,No / not yet,23,Male,Moderately,Slightly,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,467212d4-4378-4c4b-85d3-9bd42886891d,fr,pretest
911,2018-04-27 11:02:47+00:00,A lot,A lot,A lot,A lot,No / not yet,57,Male,Moderately,Moderately,Not even in middle school,Rarely,"Yes, but I don't exactly know what it means",Yes,A bit,I don't know,Proteins,I don't know,None of these,None of these,None of these,RBS,None of these,I don't know,None of these,I don't know,I don't know,None of these,RBS,None of these,TER,The bricks are not well-ordered,The bricks are not well-ordered,I don't know,It generates antibiotic resistance,It generates antibiotic resistance,It generates green fluorescence,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,"Under blue light, when the GFP device is equipped",The bacterium glows,I don't know,,e25cd405-a18d-4ff0-8f3a-f21c26d15919,fr,pretest
913,2018-04-27 11:07:54+00:00,Extremely,Extremely,Not at all,A lot,I just played for the first time,24,Female,Not at all,Extremely,Until the end of high school,Not at all,No,Yes,Moderately,Edit the DNA of the bacterium,Proteins,Ampicillin,Plasmid,I don't know,I don't know,RBS,TER,TER,PR,I don't know,PR,PR,RBS,RBS,CDS,The bricks are not well-ordered,I don't know,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,48167450-4258-4ea3-9c84-eaf7bc82572e,fr,posttest
914,2018-04-27 11:14:48+00:00,A lot,Moderately,Moderately,A lot,I just played for the first time,23,Male,Moderately,Slightly,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Arabinose,Plasmid,TER,I don't know,CDS,TER,I don't know,I don't know,I don't know,CDS,TER,RBS,Plasmid,PR,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,467212d4-4378-4c4b-85d3-9bd42886891d,fr,posttest
915,2018-04-27 11:22:19+00:00,Slightly,Moderately,Moderately,Moderately,I just played for the first time,57,Male,Moderately,Moderately,Not even in middle school,Rarely,"Yes, but I don't exactly know what it means",Yes,A bit,Edit the DNA of the bacterium,Amino-acids,Ampicillin,None of these,I don't know,RBS,RBS,None of these,TER,CDS,I don't know,None of these,PR,TER,Plasmid,PR,The bricks are not well-ordered,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It generates antibiotic resistance,I don't know,It makes it possible to move faster,It generates antibiotic resistance,"Under blue light, when the GFP device is equipped",The bacterium glows,"It produces more and more arabinose after being induced, because it induces itself",,e25cd405-a18d-4ff0-8f3a-f21c26d15919,fr,posttest
916,2018-04-27 12:04:39+00:00,Moderately,A lot,Moderately,A lot,No / not yet,16,Male,Moderately,Moderately,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,93bbdb65-3b28-4586-b258-cb950f3a608b,fr,pretest
917,2018-04-27 12:04:50+00:00,Moderately,Slightly,A lot,Moderately,No / not yet,14,Male,A lot,Moderately,Not even in middle school,A lot,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,fr,pretest
918,2018-04-27 12:40:43+00:00,Moderately,Slightly,A lot,Slightly,I just played for the first time,14,Male,A lot,Moderately,Not even in middle school,A lot,No,Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Arabinose,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,fr,posttest
919,2018-04-27 12:40:59+00:00,Moderately,Slightly,Moderately,A lot,I just played for the first time,16,Male,Moderately,Moderately,Until the end of high school,Moderately,No,Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,CDS,RBS,CDS,PR,I don't know,PR,I don't know,RBS,I don't know,I don't know,TER,CDS,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It generates antibiotic resistance,I don't know,It generates antibiotic resistance,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,"Under blue light, when the GFP device is equipped",The bacterium glows,It is active only in arabinose clouds,,93bbdb65-3b28-4586-b258-cb950f3a608b,fr,posttest
