,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
62299,"[-284, -443]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,"""T2_NEED3FLAGELLA""",,,,,,,,,,,35dbafaf-0a04-4c5a-95aa-131cce53021b,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:30:01.558000+00:00,hint,2018-04-27 10:24:40.745000+00:00
62304,"[-144, -532]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""","""FLUO1""",,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,47a0ecc6-e372-4ee7-859c-c209318d01c5,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:30:18.442000+00:00,pickup,2018-04-27 10:24:57.910000+00:00
62305,"[-144, -532]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,"""T1_FLUO1""",,,,,,,,,,,57c09c20-3627-4f3f-bce1-c50bc1d0922f,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:30:18.459000+00:00,hint,2018-04-27 10:24:57.910000+00:00
62309,"[-144, -525]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,23d6006b-b4e6-40d4-a0fd-31c18343f678,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:30:33.794000+00:00,craft,2018-04-27 10:25:13.254000+00:00
62310,"[-144, -525]",,"""FLUO1""",,,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,b054fe43-b025-43d5-8e54-5e95555f7368,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:30:33.795000+00:00,add,2018-04-27 10:25:13.255000+00:00
62312,"[-144, -525]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,"""PUTMOVBACK""",,,,,,,,,,,91aa7796-f09a-43ad-bfa8-c94cece37d13,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:30:54.476000+00:00,hint,2018-04-27 10:25:33.856000+00:00
62317,"[-144, -525]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,e78f2294-bae2-4f7b-91df-134e05f0a1c0,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:31:07.356000+00:00,add,2018-04-27 10:25:46.679000+00:00
62318,"[-144, -525]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,96aca827-0740-4260-b845-22d1e6ec7e33,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:31:10.026000+00:00,add,2018-04-27 10:25:48.997000+00:00
62320,"[-144, -525]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,6c7f634e-4fca-43b7-8fc7-72ac307c3509,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:31:11.204000+00:00,add,2018-04-27 10:25:50.665000+00:00
62326,"[-287, -442]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,"""T2_NEED3FLAGELLA""",,,,,,,,,,,4312197a-36b4-4389-85a0-b408cf4ce917,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:31:46.035000+00:00,hint,2018-04-27 10:26:25.361000+00:00
62336,"[-169, -577]",,"""FLUO1""",,,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,9deb42e3-0bc8-4943-91d4-306f3253f536,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:32:57.208000+00:00,add,2018-04-27 10:27:36.500000+00:00
62339,"[-169, -577]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,1e83f219-b348-4ae5-92d7-183432fc3c9f,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint01,2018-04-27 10:33:04.301000+00:00,add,2018-04-27 10:27:43.622000+00:00
