,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
61940,"[-628, -568]",,,,,,,,,,,,,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,"""STUDY""",,,,,,,,,,,1b8706d6-16e8-467c-b6d5-9f2ae781eace,,7113836b-02bb-45bd-b07d-fdf5eae3148c,tutorial.Checkpoint05,2018-04-27 12:41:58.757000+00:00,hint,2018-04-27 12:42:42.699000+00:00
61941,"[-398, -1060]",,,,,,,,,,,,,,93bbdb65-3b28-4586-b258-cb950f3a608b,"""STUDY""",,,,,,,,,,,5255e685-c06f-4eb2-a698-6cadf8793937,,30fe30bf-66ca-4592-ba6a-11b47c95bfbc,tutorial.Checkpoint12,2018-04-27 12:42:18.329000+00:00,hint,2018-04-27 12:41:48.557000+00:00
61942,"[-628, -568]",,,,,,,,,,,,,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,"""STUDY""",,,,,,,,,,,831b6d69-198c-436c-9aa4-d93900a8f9b7,,7113836b-02bb-45bd-b07d-fdf5eae3148c,tutorial.Checkpoint05,2018-04-27 12:42:53.787000+00:00,hint,2018-04-27 12:43:37.726000+00:00
61943,"[-393, -1026]",,,,,,,,,,,,,,93bbdb65-3b28-4586-b258-cb950f3a608b,,,,"""RESUME""",,,,,,,,a502d70d-5629-46c2-a1e4-a47518d2f666,,30fe30bf-66ca-4592-ba6a-11b47c95bfbc,tutorial.Checkpoint12,2018-04-27 12:42:59.939000+00:00,selectmenu,2018-04-27 12:42:30.141000+00:00
61944,"[-628, -568]",,,,,,,,,,,,,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,"""STUDY""",,,,,,,,,,,bd828773-09a5-4667-b12e-34d1ecc41ae0,,7113836b-02bb-45bd-b07d-fdf5eae3148c,tutorial.Checkpoint05,2018-04-27 12:58:29.313000+00:00,hint,2018-04-27 12:59:13.194000+00:00
61945,"[-628, -568]",,,,,,,,,,,,,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,"""STUDY""",,,,,,,,,,,16cd0484-30b8-4520-9eb9-a73c61afae8e,,7113836b-02bb-45bd-b07d-fdf5eae3148c,tutorial.Checkpoint05,2018-04-27 12:59:24.324000+00:00,hint,2018-04-27 13:00:08.222000+00:00
61946,"[-628, -568]",,,,,,,,,,,,,,cce9a48a-8634-43ae-a1cf-d336895fd0bc,"""STUDY""",,,,,,,,,,,1a8fb6a1-3fd5-48ff-a70f-c05c60071779,,7113836b-02bb-45bd-b07d-fdf5eae3148c,tutorial.Checkpoint05,2018-04-27 13:00:19.330000+00:00,hint,2018-04-27 13:01:03.249000+00:00
61949,"[-229, -608]",,,,,,,,,,,,,,7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,"""linuxplayer""",,,,,,b428c2cb-6c45-4c18-9582-e8ffe8cfb14f,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,,2018-04-27 09:10:19.351000+00:00,start,2018-04-27 09:09:49.840000+00:00
61950,"[0, 0]",,,"""0""",,,,"""""",,,"""100""",,,"""100""",7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,,,,,cd90c2bf-f472-4d7d-895e-721048fbd5bc,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,,2018-04-27 09:10:35.671000+00:00,newfurthest,2018-04-27 09:10:06.158000+00:00
61951,"[-229, -608]",,,,,,,,,,,,"""French""",,7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,,,,,,,,,db7204af-5e70-4e4c-b60d-722c482bea42,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,,2018-04-27 09:10:42.223000+00:00,configure,2018-04-27 09:10:12.701000+00:00
61952,"[-229, -608]",,,,,,,,,,,,,,7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,"""RESUME""",,,,,,,,7445873c-5691-4fe2-99e7-649054ee7f8c,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,,2018-04-27 09:10:42.691000+00:00,selectmenu,2018-04-27 09:10:13.179000+00:00
61953,"[-229, -608]",,,,,,,,,,,,,,7f4a6b0a-dcc5-4d0c-ad54-6da0294d28ff,,,,"""RESUME""",,,,,,,,28c6a31d-214a-4cde-9869-9bf87cfcc6d4,,7ff4931d-e166-4df0-ae1f-c1c81575a4cb,,2018-04-27 09:10:50.702000+00:00,selectmenu,2018-04-27 09:10:21.185000+00:00
