,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
100,2018-04-11 13:50:12+00:00,A lot,Moderately,A lot,Moderately,No / not yet,12,Male,A lot,A lot,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e3fc1686-6802-4e36-9877-d1bb226a6f72,en,pretest
116,2018-04-14 12:21:23+00:00,Moderately,Slightly,Extremely,Extremely,No / not yet,24,Male,Extremely,Moderately,Until the end of high school,A lot,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,3421dfc4-8085-4af7-bf73-a46e655fc2ca,en,pretest
117,2018-04-14 12:40:17+00:00,Moderately,Slightly,Extremely,Extremely,I just played for the first time,24,Male,Extremely,Moderately,Until the end of high school,A lot,No,Yes,Moderately,Move the bacterium,DNA sequences,Ampicillin,I don't know,None of these,I don't know,CDS,None of these,I don't know,I don't know,CDS,I don't know,PR,RBS,Plasmid,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,"It produces more and more arabinose after being induced, because it induces itself",,3421dfc4-8085-4af7-bf73-a46e655fc2ca,en,posttest
126,2018-04-17 12:58:40+00:00,A lot,A lot,Extremely,A lot,No / not yet,42,Male,Extremely,A lot,Until the end of high school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d79be9fe-e617-4ce1-a141-d38971f6e9b4,en,pretest
128,2018-04-17 13:26:35+00:00,A lot,A lot,A lot,A lot,I just played for the first time,42,Male,Extremely,A lot,Until the end of high school,A lot,No,No,Moderately,Edit the DNA of the bacterium,DNA sequences,Arabinose,CDS,None of these,PR,PR,None of these,TER,PR,I don't know,PR,I don't know,I don't know,I don't know,PR,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,It generates antibiotic resistance,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It makes it possible to move faster,"Under blue light, all the time",The bacterium glows,It is active only in arabinose clouds,interesting and so funny approach to discover a bit more about biology,d79be9fe-e617-4ce1-a141-d38971f6e9b4,en,posttest
129,2018-04-17 13:35:20+00:00,Moderately,A lot,Extremely,Extremely,No / not yet,19,Male,Extremely,Moderately,Until bachelor's degree,Extremely,No,Yes,Extremely,Gather nanorobots,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",I don't know,I don't know,,6627912f-da9b-4406-a119-7b92c53af450,en,pretest
130,2018-04-17 16:24:46+00:00,A lot,Moderately,A lot,Moderately,I just played for the first time,17,Male,A lot,Moderately,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,TER,I don't know,I don't know,TER,RBS,I don't know,I don't know,I don't know,CDS,RBS,Plasmid,PR,The bricks are not well-ordered,It generates green fluorescence,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Nothing,It is active only in arabinose clouds,it is a nice game and its a good idea to teach with games but its easy to get stuck if you don't know when you can craft new things and good luck improving this game,cb03d106-69f5-4504-bd05-38c0fef5b63c,en,posttest
138,2018-04-18 14:22:11+00:00,A lot,A lot,A lot,A lot,I just played for the first time,27,Male,Extremely,Moderately,Until the end of middle school,A lot,No,Yes,A lot,Edit the DNA of the bacterium,RNA sequences,Terminator,I don't know,Plasmid,TER,RBS,I don't know,None of these,I don't know,I don't know,TER,PR,CDS,CDS,I don't know,It generates green fluorescence in presence of arabinose inducer,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"In front of the doors, when the GFP device is equipped",The bacterium glows,I don't know,,39b30a7e-ff49-427d-bdb6-f387e56ba5db,en,posttest
150,2018-04-20 11:30:47+00:00,Moderately,A lot,Slightly,Moderately,I just played for the first time,,,,,,,,,Moderately,I don't know,I don't know,Terminator,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Plasmid,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,It generates antibiotic resistance,I don't know,I don't know,I don't know,I don't know,It generates green fluorescence,I don't know,I don't know,I don't know,The bacterium glows,I don't know,,4b19e51b-c81f-4cbb-af72-0dced3bbb52b,en,posttest
151,2018-04-20 11:44:50+00:00,A lot,Moderately,Slightly,Slightly,No / not yet,19,Female,Moderately,A lot,Until the end of middle school,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad580e35-08d5-45f7-9480-52b54c814d75,en,pretest
