,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
93,2018-04-11 00:56:06+00:00,Extremely,Extremely,A lot,A lot,No / not yet,18,Male,A lot,Extremely,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",I don't know,It produces arabinose all the time,,8e8acb8f-c28c-4822-8209-781995b5067e,en,pretest
94,2018-04-11 01:33:59+00:00,Extremely,Extremely,A lot,A lot,I just played for the first time,18,Male,A lot,Extremely,Until the end of high school,Moderately,No,Yes,Extremely,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,TER,PR,TER,CDS,RBS,PR,CDS,PR,RBS,Plasmid,RBS,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,"Very fun game, surprising to see how much I learned in a little amount of time.",8e8acb8f-c28c-4822-8209-781995b5067e,en,posttest
102,2018-04-12 08:05:46+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,48,Male,Moderately,Moderately,Until the end of high school,Moderately,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2ad10897-b143-45f4-9a78-60ee4bcecc80,en,pretest
141,2018-04-18 23:25:47+00:00,Moderately,Extremely,A lot,Extremely,No / not yet,17,Male,A lot,A lot,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abbf78ac-d9aa-4fb0-aa0b-f5f40a57838e,en,pretest
143,2018-04-18 23:49:34+00:00,A lot,Extremely,A lot,Extremely,I just played for the first time,17,Male,A lot,A lot,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",No,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,RBS,CDS,None of these,TER,TER,I don't know,RBS,Plasmid,None of these,None of these,TER,I don't know,It makes it possible to move faster,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,none,abbf78ac-d9aa-4fb0-aa0b-f5f40a57838e,en,posttest
180,2018-04-23 22:47:59+00:00,Extremely,A lot,A lot,Moderately,No / not yet,15,Female,A lot,A lot,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I do not know anything,2bd8c00c-bceb-4139-a50c-51b71c1f8d0f,en,pretest
181,2018-04-23 23:04:27+00:00,Extremely,A lot,Extremely,A lot,I just played for the first time,15,Female,A lot,A lot,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",Yes,A bit,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,TER,CDS,Plasmid,I don't know,None of these,RBS,RBS,Plasmid,PR,CDS,RBS,PR,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,"it is a decent game I would just say the moving mechanics need some improvement , but other than the I think it is a fine program :)",2bd8c00c-bceb-4139-a50c-51b71c1f8d0f,en,posttest
599,2018-04-12 08:18:51+00:00,A lot,A lot,Moderately,Moderately,I just played for the first time,48,Male,Moderately,Moderately,Until the end of high school,Moderately,"Yes, and I know what it means",No,A lot,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,RBS,I don't know,TER,I don't know,RBS,I don't know,TER,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,2ad10897-b143-45f4-9a78-60ee4bcecc80,fr,posttest
839,2018-04-23 15:32:23+00:00,A lot,A lot,A lot,A lot,No / not yet,16,Male,A lot,Moderately,Until the end of high school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74a1a7f8-190d-4c13-9dcd-d723f6d60c4a,fr,pretest
840,2018-04-23 15:55:31+00:00,Moderately,Moderately,A lot,A lot,I just played for the first time,16,Male,A lot,Moderately,Until the end of high school,A lot,No,No,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,None of these,I don't know,RBS,TER,CDS,I don't know,I don't know,None of these,PR,None of these,None of these,None of these,The bricks are not well-ordered,It generates antibiotic resistance,It generates green fluorescence in presence of arabinose inducer,It generates antibiotic resistance,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,"In front of the doors, when the GFP device is equipped",Flagella quickly disappear one by one,It is active only in arabinose clouds,,74a1a7f8-190d-4c13-9dcd-d723f6d60c4a,fr,posttest
