,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
0,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,2cfd157d-cf91-4db2-9644-d26fa0155abf,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:49:53.300000+00:00,selectmenu,2018-04-05 12:49:53.046000+00:00
1,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,5033ed6f-272c-4f1e-bd22-738e7652d86e,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:49:54.746000+00:00,selectmenu,2018-04-05 12:49:54.486000+00:00
2,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,68ee500f-1905-4619-bb25-f254f8163cef,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:49:59.381000+00:00,selectmenu,2018-04-05 12:49:59.130000+00:00
3,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,5659d83b-5cbf-4f6a-a53a-d41e2efa895c,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:00.260000+00:00,selectmenu,2018-04-05 12:50:00+00:00
4,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,b1b54d1b-987d-4a97-b517-69340e64e45a,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:01.402000+00:00,selectmenu,2018-04-05 12:50:01.148000+00:00
5,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,dc549423-8350-466b-a4ce-6ed805461964,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:03.176000+00:00,selectmenu,2018-04-05 12:50:02.870000+00:00
6,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,5a0227e4-19c1-42dc-b114-405d740a3e4c,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:03.428000+00:00,selectmenu,2018-04-05 12:50:03.174000+00:00
7,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,5a8da008-6e14-4dc1-bf8b-c5cc9942affa,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:04.052000+00:00,selectmenu,2018-04-05 12:50:03.798000+00:00
8,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,2d241e29-86ca-45f7-9fcc-dbb35eeb07b1,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:05.483000+00:00,selectmenu,2018-04-05 12:50:05.230000+00:00
9,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,abd608de-6c4e-458b-b36e-af5719bae9b6,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:07.052000+00:00,selectmenu,2018-04-05 12:50:06.786000+00:00
10,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,698a6eaf-e173-4ff5-8f0f-2c5e132ca15d,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:07.884000+00:00,selectmenu,2018-04-05 12:50:07.630000+00:00
11,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,f45de8c1-e43b-4429-b506-c38ee93d23e9,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:08.654000+00:00,selectmenu,2018-04-05 12:50:08.398000+00:00
12,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,bae13234-44bf-46d5-8354-092890530b62,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:09.407000+00:00,selectmenu,2018-04-05 12:50:09.152000+00:00
13,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,7ce6daed-fd1b-457b-ad3b-18488874b6ad,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:10.201000+00:00,selectmenu,2018-04-05 12:50:09.944000+00:00
14,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,8b986f0b-a82c-4f0c-8900-b9f506dba6ff,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:10.903000+00:00,selectmenu,2018-04-05 12:50:10.646000+00:00
15,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,5334cf6a-b6b6-4174-a095-967f51fa3b26,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:11.698000+00:00,selectmenu,2018-04-05 12:50:11.446000+00:00
16,"[-229, -608]",,,,,,,,,,,,,,39a160da-ed5a-4261-af3d-754f89ffd80c,,,,"""RESUME""",,,,,,,,4b662ca4-cf1c-4531-af1a-66071f1a57fe,,d3d68f9b-1d92-4a38-b7c0-8b9cef0479a7,,2018-04-05 12:50:12.486000+00:00,selectmenu,2018-04-05 12:50:12.232000+00:00
22,"[-295, -443]",,,,,,,,,,,,,,e8ed68b8-42d5-4f15-b76a-40aab1e08d79,"""PUTMOVBACK""",,,,,,,,,,,c6bdec2b-50c2-4082-aab4-1ee7026b64db,,8f8576aa-2d8f-464f-98b0-a5e8e781d1b0,tutorial.Checkpoint01,2018-03-25 19:07:18.539000+00:00,hint,2018-03-25 19:07:21.640000+00:00
35,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",670c6701-bba0-4fda-875c-8a4e6d01ed0c,,,,,,,,,,,,d0c4abef-445f-4cd5-a4a3-46f3af0be13c,,9c97daac-2c59-4fb7-b4a4-1772f1efcf29,,2018-03-23 19:16:59.135000+00:00,craft,2018-03-23 19:16:59.355000+00:00
36,"[-229, -608]",,,,,,,,,,,,,,670c6701-bba0-4fda-875c-8a4e6d01ed0c,,,,,,"""webglplayer""",,,,,,01cfa09a-9069-4056-9849-1207a3d88ed0,,9c97daac-2c59-4fb7-b4a4-1772f1efcf29,,2018-03-23 19:16:29.579000+00:00,start,2018-03-23 19:16:29.255000+00:00
37,"[0, 0]",,,"""0""",,,,"""""",,,"""100""",,,"""100""",670c6701-bba0-4fda-875c-8a4e6d01ed0c,,,,,,,,,,,,c4f4ae95-35ff-4aed-a7f1-b3cf2940ff4c,,9c97daac-2c59-4fb7-b4a4-1772f1efcf29,,2018-03-23 19:16:36.282000+00:00,newfurthest,2018-03-23 19:16:35.874000+00:00
38,"[-229, -608]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",670c6701-bba0-4fda-875c-8a4e6d01ed0c,,,,,,,,"""slot0""",,,,7acf13f4-023c-4e49-aa7f-eed8b8129959,,9c97daac-2c59-4fb7-b4a4-1772f1efcf29,,2018-03-23 19:17:07.682000+00:00,select,2018-03-23 19:17:07.928000+00:00
39,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""""",,,"""100""",,,"""100""",670c6701-bba0-4fda-875c-8a4e6d01ed0c,,,,,,,,,,,,28e28835-88b9-4a45-b269-f6bdd18ffdb1,,9c97daac-2c59-4fb7-b4a4-1772f1efcf29,,2018-03-23 19:17:08.595000+00:00,remove,2018-03-23 19:17:08.862000+00:00
40,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",670c6701-bba0-4fda-875c-8a4e6d01ed0c,,,,,,,,,,,,494d7b32-0bfa-4a36-ad73-51e2b5577874,,9c97daac-2c59-4fb7-b4a4-1772f1efcf29,,2018-03-23 19:17:12.856000+00:00,add,2018-03-23 19:17:13.088000+00:00
41,"[-253, -711]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",670c6701-bba0-4fda-875c-8a4e6d01ed0c,,,,,,,,,,,,36e7d415-43b7-4f30-aeb3-e55bebfb1e94,,9c97daac-2c59-4fb7-b4a4-1772f1efcf29,tutorial.Checkpoint00,2018-03-23 19:17:25.237000+00:00,reach,2018-03-23 19:17:25.464000+00:00
42,"[-189, -768]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""","""RBS2""",,"""100""",,,"""100""",670c6701-bba0-4fda-875c-8a4e6d01ed0c,,,,,,,,,,,,48a18300-f554-4799-b472-3dbbd008e13d,,9c97daac-2c59-4fb7-b4a4-1772f1efcf29,tutorial.Checkpoint00,2018-03-23 19:17:38.544000+00:00,pickup,2018-03-23 19:17:38.791000+00:00
