,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
208,2018-04-27 19:18:22+00:00,A lot,Extremely,Extremely,Extremely,No / not yet,18,Male,Extremely,A lot,Until the end of high school,A lot,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d15bdbe-797d-42f5-8f77-6b8b30bbe0c2,en,pretest
216,2018-04-28 16:30:51+00:00,Slightly,Slightly,Moderately,Not at all,No / not yet,27,Female,Moderately,Moderately,Until the end of high school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82b9d943-4d8c-4d6a-b023-415404a2d5bc,en,pretest
219,2018-04-28 21:14:28+00:00,Extremely,Moderately,Moderately,Extremely,No / not yet,30,Female,Moderately,Extremely,Until bachelor's degree,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e8abe9e-31cc-4bc7-a294-35e65eff8ce3,en,pretest
220,2018-04-29 08:38:17+00:00,Moderately,Moderately,Moderately,A lot,No / not yet,29,Male,Moderately,Slightly,Until the end of high school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fabd62e9-1143-477b-bb07-f28cbd4e14de,en,pretest
221,2018-04-29 11:55:55+00:00,Moderately,Extremely,Moderately,A lot,No / not yet,15,Male,A lot,A lot,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,None of these,Plasmid,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",The bacterium dies,"It produces more and more arabinose after being induced, because it induces itself",,7a82cf53-bd2f-407b-a607-d4e3184327ec,en,pretest
223,2018-04-29 15:16:10+00:00,Moderately,Moderately,A lot,Slightly,No / not yet,22,Male,Extremely,Moderately,Until the end of high school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,c27bf17a-33ab-43a1-b70f-b849ccda2751,en,pretest
224,2018-04-29 15:26:18+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,20,Male,Extremely,Extremely,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a6c4acb-be68-48f9-af7c-74fe3678b039,en,pretest
227,2018-04-30 01:59:49+00:00,Not at all,Not at all,Not at all,Not at all,No / not yet,20,Prefer not to say,Not at all,Not at all,Until bachelor's degree,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f5429895-7e01-4f35-8c43-db0dd4aaaf28,en,pretest
228,2018-04-30 10:58:48+00:00,Extremely,Extremely,Extremely,Extremely,I just played for the first time,,,,,,,,,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,why are you making me answer questions about the game i havent played it yet,a54888f5-4f01-4ada-bdb4-acb690ffea29,en,posttest
230,2018-04-30 14:42:40+00:00,A lot,Extremely,Slightly,Slightly,No / not yet,15,Female,Slightly,Extremely,Until the end of high school,Not at all,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,TER,I don't know,CDS,RBS,CDS,I don't know,I don't know,PR,I don't know,I don't know,I don't know,PR,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Nothing,"It produces more and more arabinose after being induced, because it induces itself",,cc232e1b-7a00-43f3-9acb-c7e39c9efb16,en,pretest
236,2018-04-30 21:10:40+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,27,Male,Moderately,Moderately,Until the end of high school,Moderately,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a4df6d3a-f2e6-4566-86d2-41a21d89b6ff,en,pretest
238,2018-05-01 01:46:07+00:00,Not at all,Not at all,Not at all,Not at all,No / not yet,20,Other,A lot,A lot,Until bachelor's degree,A lot,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89dd36ba-c9e6-4e88-b020-b4ae6af85ba7,en,pretest
239,2018-05-01 05:48:13+00:00,A lot,A lot,Moderately,Moderately,No / not yet,18,Female,Slightly,A lot,Until the end of high school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22f64913-9a44-4c32-8f14-c713e7f8fa94,en,pretest
240,2018-05-01 11:28:38+00:00,A lot,A lot,A lot,Moderately,No / not yet,25,Female,A lot,A lot,Until the end of high school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e98707a3-8c13-43be-b15a-8d19185aae6c,en,pretest
243,2018-05-01 18:54:06+00:00,Not at all,Not at all,Not at all,Not at all,I just played for the first time,,,,,,,,,Not applicable: not played yet,Gather nanorobots,RNA sequences,Ampicillin,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",The bacterium glows,It produces arabinose all the time,,8bd09edc-d41b-49db-b28d-70936ede92f4,en,posttest
248,2018-05-02 17:28:11+00:00,Not at all,Not at all,Not at all,Not at all,No / not yet,34,Female,Slightly,Extremely,At least until master's degree,Rarely,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trying to use game for science education,ee11a259-e6c9-4267-89ed-f7659d18516d,en,pretest
249,2018-05-03 04:08:52+00:00,Slightly,Slightly,Slightly,Slightly,No / not yet,21,Female,Not at all,Moderately,Until the end of high school,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d3fb75a-ba77-4fcd-bf5c-79e47831f997,en,pretest
252,2018-05-03 23:30:32+00:00,A lot,A lot,Extremely,Moderately,No / not yet,15,Prefer not to say,A lot,A lot,Until the end of middle school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe062ddc-96c8-43d6-8a8c-792f6d228186,en,pretest
253,2018-05-04 07:52:21+00:00,Extremely,A lot,A lot,Moderately,No / not yet,23,Male,Extremely,Extremely,At least until master's degree,Extremely,"Yes, but I don't exactly know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,en,pretest
254,2018-05-04 08:24:13+00:00,Moderately,Slightly,A lot,A lot,No / not yet,24,Female,A lot,A lot,Until the end of high school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eac5d4ab-93ba-44a6-898d-3cb29bf8d889,en,pretest
255,2018-05-04 08:36:37+00:00,A lot,A lot,Moderately,Slightly,No / not yet,22,Female,Moderately,Moderately,Until the end of high school,Rarely,No,Yes,Not applicable: not played yet,I don't know,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,d1d0e784-0481-4854-a8e2-029cd57de625,en,pretest
256,2018-05-04 12:16:33+00:00,Extremely,Extremely,A lot,Slightly,No / not yet,21,Male,A lot,Extremely,Until bachelor's degree,A lot,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37529774-c33f-4e0b-ba33-ab8b94e2e9d0,en,pretest
260,2018-05-04 14:24:43+00:00,Slightly,Slightly,Extremely,Extremely,I just played for the first time,,,,,,,,,Not applicable: not played yet,Edit the DNA of the bacterium,Proteins,Terminator,PR,TER,TER,CDS,PR,RBS,PR,CDS,TER,TER,RBS,PR,PR,The bricks are not well-ordered,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,It generates antibiotic resistance,I don't know,It generates antibiotic resistance,It makes it possible to move faster,"Under blue light, all the time",The bacterium dies,"It produces more and more arabinose after being induced, because it induces itself",,68638e14-d6e9-427e-b6a5-d08d70de11b4,en,posttest
261,2018-05-04 18:26:36+00:00,Not at all,Not at all,Not at all,Slightly,No / not yet,26,Female,Slightly,Slightly,Until bachelor's degree,Rarely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ceb138b6-df57-433f-b082-1dad70955358,en,pretest
