,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
15519,"[-229, -608]",,,,,,,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,"""webglplayer""",,,,,,e47e72bd-c0f0-4b75-9301-7c7ff3c50ef6,,23181973-5361-4278-91a8-f2e9dddce069,,2018-05-04 07:53:49.270000+00:00,start,2018-05-04 07:53:49.057000+00:00
15520,"[-229, -608]",,,,,,,,,,,,"""French""",,148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,7ab10ae8-0551-4e56-a818-5cb420a7ec9d,,23181973-5361-4278-91a8-f2e9dddce069,,2018-05-04 07:53:51.940000+00:00,configure,2018-05-04 07:53:51.806000+00:00
15521,"[0, 0]",,,"""0""",,,,"""""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,c2b5dee6-9978-40a3-a8bf-60e4549b2ab9,,23181973-5361-4278-91a8-f2e9dddce069,,2018-05-04 07:53:57.278000+00:00,newfurthest,2018-05-04 07:53:56.653000+00:00
15522,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,40391c9f-1fd6-4ede-b314-0def15e55e0e,,23181973-5361-4278-91a8-f2e9dddce069,,2018-05-04 07:54:35.879000+00:00,craft,2018-05-04 07:54:35.374000+00:00
15523,"[-229, -608]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,"""slot0""",,,,424030e9-973b-40dd-93ac-356e52aff08a,,23181973-5361-4278-91a8-f2e9dddce069,,2018-05-04 07:55:10.871000+00:00,select,2018-05-04 07:55:10.696000+00:00
15524,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,a622169c-108e-4423-9c02-0ff13e9ef909,,23181973-5361-4278-91a8-f2e9dddce069,,2018-05-04 07:55:14.553000+00:00,remove,2018-05-04 07:55:14.416000+00:00
15525,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,3764bb9c-28e5-4d64-b30b-64ae76f81cf7,,23181973-5361-4278-91a8-f2e9dddce069,,2018-05-04 07:55:25.376000+00:00,add,2018-05-04 07:55:25.198000+00:00
15526,"[-269, -718]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,c4a9c780-72f3-4e6a-a189-710ba74f864a,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint00,2018-05-04 07:55:43.271000+00:00,reach,2018-05-04 07:55:43.088000+00:00
15527,"[-191, -766]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""","""RBS2""",,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,7f2204e8-fac8-4ebe-b774-a321140cbf69,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint00,2018-05-04 07:55:57.206000+00:00,pickup,2018-05-04 07:55:57.028000+00:00
15528,"[-190, -771]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,"""slot0""",,,,eb1bddcc-633e-44cc-a343-6b268c7099bc,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint00,2018-05-04 07:56:15.150000+00:00,select,2018-05-04 07:56:14.975000+00:00
