,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
0,"[-229, -608]",,,,,,,,,,,,,,12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,"""RESUME""",,,,,,,,d5afd219-e9de-48cd-b681-f23c5eb141dd,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,,2018-04-27 21:06:54.328000+00:00,selectmenu,2018-04-27 21:06:53.570000+00:00
6132,"[-229, -608]",,,,,,,,,,,,,,12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,"""webglplayer""",,,,,,846f2e49-80b8-4d7f-b236-8c2902eefcf2,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,,2018-04-27 21:05:10.666000+00:00,start,2018-04-27 21:05:09.914000+00:00
6244,"[0, 0]",,,"""1""",,,,"""""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,,,,,58fb2a62-1373-4e2a-bcb8-b28c577bbf40,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,,2018-04-27 21:05:15.276000+00:00,newfurthest,2018-04-27 21:05:14.460000+00:00
6314,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,,,,,536d13a7-791b-46b3-8303-70642d85d9e3,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,,2018-04-27 21:06:08.766000+00:00,craft,2018-04-27 21:06:08.008000+00:00
6335,"[-229, -608]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,"""slot0""",,,,616631d9-ab29-4946-a545-7962069bb130,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,,2018-04-27 21:07:10.980000+00:00,select,2018-04-27 21:07:10.222000+00:00
6336,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,,,,,71b9c18b-6585-419e-aa7f-f5e57bb52f8a,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,,2018-04-27 21:07:16.388000+00:00,remove,2018-04-27 21:07:15.634000+00:00
6337,"[-229, -608]",,,,,,"""PRCONS:RBS3:MOV:DTER""","""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,,,,,57bea02c-62d2-4860-b51f-0d0808093aad,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,,2018-04-27 21:07:30.053000+00:00,add,2018-04-27 21:07:29.298000+00:00
6338,"[-234, -704]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,,,,,dc428bf4-8cb6-4f21-a927-324ac6ddbbb5,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,tutorial.Checkpoint00,2018-04-27 21:07:41.125000+00:00,reach,2018-04-27 21:07:40.368000+00:00
6339,"[-191, -766]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""","""RBS2""",,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,,,,,3d30856a-959e-42fe-8fea-861bdc1a86a2,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,tutorial.Checkpoint00,2018-04-27 21:07:56.350000+00:00,pickup,2018-04-27 21:07:55.594000+00:00
6340,"[-191, -770]",,,,,,,"""slot0[PRCONS:RBS3:MOV:DTER]""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,"""slot0""",,,,19802c88-4db6-498c-8fa0-a06f8c986b1a,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,tutorial.Checkpoint00,2018-04-27 21:08:18.974000+00:00,select,2018-04-27 21:08:18.220000+00:00
6341,"[-191, -770]",,"""RBS2""",,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,,,,,2741220e-4210-4f53-81fc-6ce8e198160d,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,tutorial.Checkpoint00,2018-04-27 21:08:27.462000+00:00,add,2018-04-27 21:08:26.690000+00:00
6342,"[-191, -770]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,,,,,87a082bb-8b6f-44d4-9034-a8e4948f78f1,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,tutorial.Checkpoint00,2018-04-27 21:08:27.478000+00:00,craft,2018-04-27 21:08:26.680000+00:00
6343,"[-191, -770]",,,,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",12ce6ff6-3ea9-44aa-9d99-9bb8ed07032f,,,,,,,,"""slot0""",,,,adc5d011-dbe3-4182-b643-0fe9466d4254,,c1f252c6-ab76-4939-9b53-6d7c96d33a8c,tutorial.Checkpoint00,2018-04-27 21:08:33.621000+00:00,select,2018-04-27 21:08:32.866000+00:00
