,antecedants,consequents,support,confidence
0,"frozenset({'Q26', 'Q21', 'Q20', 'Q27', 'Q19'})",frozenset({'Q15'}),123,0.8661971830985915
1,"frozenset({'Q15', 'Q20', 'Q21', 'Q27', 'Q19'})",frozenset({'Q26'}),123,1.0
2,"frozenset({'Q21', 'Q20', 'Q27', 'Q19'})","frozenset({'Q15', 'Q26'})",123,0.8661971830985915
3,"frozenset({'Q15', 'Q21', 'Q27', 'Q19'})","frozenset({'Q26', 'Q20'})",123,0.9534883720930233
4,"frozenset({'Q15', 'Q21', 'Q27'})","frozenset({'Q26', 'Q20', 'Q19'})",123,0.9389312977099237
5,"frozenset({'Q15', 'Q20', 'Q27', 'Q19'})","frozenset({'Q26', 'Q21'})",123,0.984
6,"frozenset({'Q15', 'Q27', 'Q19'})","frozenset({'Q26', 'Q21', 'Q20'})",123,0.917910447761194
7,"frozenset({'Q15', 'Q20', 'Q27'})","frozenset({'Q26', 'Q21', 'Q19'})",123,0.984
8,"frozenset({'Q15', 'Q21', 'Q20', 'Q27'})","frozenset({'Q26', 'Q19'})",123,1.0
9,"frozenset({'Q20', 'Q21', 'Q27'})","frozenset({'Q15', 'Q26', 'Q19'})",123,0.8601398601398601
10,"frozenset({'Q15', 'Q26', 'Q20', 'Q27', 'Q19'})",frozenset({'Q21'}),123,0.9919354838709677
11,"frozenset({'Q15', 'Q26', 'Q27', 'Q19'})","frozenset({'Q20', 'Q21'})",123,0.924812030075188
12,"frozenset({'Q15', 'Q26', 'Q27'})","frozenset({'Q20', 'Q21', 'Q19'})",123,0.8723404255319149
13,"frozenset({'Q15', 'Q26', 'Q20', 'Q27'})","frozenset({'Q21', 'Q19'})",123,0.9919354838709677
14,"frozenset({'Q15', 'Q26', 'Q21', 'Q27', 'Q19'})",frozenset({'Q20'}),123,0.9534883720930233
15,"frozenset({'Q15', 'Q26', 'Q21', 'Q27'})","frozenset({'Q20', 'Q19'})",123,0.9461538461538461
16,"frozenset({'Q15', 'Q26', 'Q21', 'Q20', 'Q19'})",frozenset({'Q27'}),123,0.9761904761904762
17,"frozenset({'Q15', 'Q20', 'Q21', 'Q19'})","frozenset({'Q26', 'Q27'})",123,0.9761904761904762
18,"frozenset({'Q15', 'Q21', 'Q19'})","frozenset({'Q26', 'Q20', 'Q27'})",123,0.9318181818181818
19,"frozenset({'Q15', 'Q21'})","frozenset({'Q26', 'Q20', 'Q27', 'Q19'})",123,0.917910447761194
20,"frozenset({'Q15', 'Q20', 'Q19'})","frozenset({'Q26', 'Q21', 'Q27'})",123,0.9534883720930233
21,"frozenset({'Q15', 'Q19'})","frozenset({'Q26', 'Q21', 'Q27', 'Q20'})",123,0.8661971830985915
22,"frozenset({'Q15', 'Q20'})","frozenset({'Q26', 'Q21', 'Q27', 'Q19'})",123,0.9534883720930233
23,"frozenset({'Q15', 'Q21', 'Q20'})","frozenset({'Q26', 'Q27', 'Q19'})",123,0.9761904761904762
24,"frozenset({'Q15', 'Q26', 'Q20', 'Q19'})","frozenset({'Q21', 'Q27'})",123,0.968503937007874
25,"frozenset({'Q15', 'Q26', 'Q19'})","frozenset({'Q20', 'Q21', 'Q27'})",123,0.8978102189781022
26,"frozenset({'Q15', 'Q26', 'Q20'})","frozenset({'Q21', 'Q27', 'Q19'})",123,0.968503937007874
